name,salary_from,salary_to,salary_currency,area_name,published_at
Младший тестировщик (ручное тестирование) в офис в Краснодаре,Краснодар,50000.0,,RUR,2022-12-05T10:09:25+0300
Инженер по сервису/механик,Минск,1900.0,,BYR,2022-12-05T11:53:47+0300
Специалист по информационным технологиям,Ташкент,4000000.0,4000000.0,UZS,2022-12-05T09:34:22+0300
Директор «Городской парк культуры и отдыха им. Ю. Гагарина»,Южно-Сахалинск,200000.0,,RUR,2022-12-05T01:47:30+0300
Специалист 1-й линии технической поддержки,Москва,65000.0,,RUR,2022-12-05T11:33:37+0300
Оператор лазерной резки,Минск,1500.0,,BYR,2022-12-05T10:46:51+0300
Младший системный администратор MySQL (Linux),Москва,70000.0,160000.0,RUR,2022-12-05T10:00:16+0300
Менеджер по продукту,Санкт-Петербург,117520.0,,RUR,2022-12-05T11:53:23+0300
Техник по обслуживанию оборудования (разъездная работа),Москва,80000.0,110000.0,RUR,2022-12-05T10:33:03+0300
Декоратор/реквизитор/костюмер частных и театральных проектов,Санкт-Петербург,30000.0,100000.0,RUR,2022-12-05T01:17:41+0300
Руководитель проектов / Бизнес-аналитик,Москва,200000.0,200000.0,RUR,2022-12-05T10:17:16+0300
Оператор отдела контроля бронирования и управления ресурсами,Шымкент,150000.0,200000.0,KZT,2022-12-05T07:07:50+0300
Младший программист C/C++,Москва,60000.0,,RUR,2022-12-05T11:58:10+0300
Программист SQL,Алматы,250000.0,500000.0,KZT,2022-12-05T09:08:31+0300
Product Manager / Продакт-менеджер в бренд будуарной женской одежды и белья,Санкт-Петербург,80000.0,120000.0,RUR,2022-12-05T10:15:40+0300
WEB разработчик (Junior),Воронеж,50000.0,,RUR,2022-12-05T09:57:17+0300
Ученик на станки с ЧПУ,Тверь,47000.0,80000.0,RUR,2022-12-05T08:25:01+0300
Java программист (Java developer),Екатеринбург,200000.0,,RUR,2022-12-05T11:57:59+0300
IT Product manager (middle),Владивосток,150000.0,250000.0,RUR,2022-12-05T10:07:45+0300
Программист 1С в аккредитованную IT-компанию,Москва,160000.0,210000.0,RUR,2022-12-05T09:28:04+0300
Эксперт по развитию HR-платформы/Эксперт по развитию продукта HR Tech,Москва,350000.0,,RUR,2022-12-05T11:49:06+0300
Системный администратор,Ижевск,20000.0,25000.0,RUR,2022-12-05T10:39:48+0300
Оператор станков с ЧПУ (ученик),Челябинск,50000.0,90000.0,RUR,2022-12-05T06:16:27+0300
