name,salary_from,salary_to,salary_currency,area_name,published_at
Младший тестировщик (ручное тестирование) в офис в Краснодаре,50000.0,,RUR,Краснодар,2022-12-05T10:09:25+0300
Специалист по информационным технологиям,4000000.0,4000000.0,UZS,Ташкент,2022-12-05T09:34:22+0300
Инженер по сервису/механик,1900.0,,BYR,Минск,2022-12-05T11:53:47+0300
Директор «Городской парк культуры и отдыха им. Ю. Гагарина»,200000.0,,RUR,Южно-Сахалинск,2022-12-05T01:47:30+0300
Специалист 1-й линии технической поддержки,65000.0,,RUR,Москва,2022-12-05T11:33:37+0300
Оператор лазерной резки,1500.0,,BYR,Минск,2022-12-05T10:46:51+0300
Менеджер по продукту,117520.0,,RUR,Санкт-Петербург,2022-12-05T11:53:23+0300
Младший системный администратор MySQL (Linux),70000.0,160000.0,RUR,Москва,2022-12-05T10:00:16+0300
Техник по обслуживанию оборудования (разъездная работа),80000.0,110000.0,RUR,Москва,2022-12-05T10:33:03+0300
Декоратор/реквизитор/костюмер частных и театральных проектов,30000.0,100000.0,RUR,Санкт-Петербург,2022-12-05T01:17:41+0300
Оператор отдела контроля бронирования и управления ресурсами,150000.0,200000.0,KZT,Шымкент,2022-12-05T07:07:50+0300
Руководитель проектов / Бизнес-аналитик,200000.0,200000.0,RUR,Москва,2022-12-05T10:17:16+0300
Младший программист C/C++,60000.0,,RUR,Москва,2022-12-05T11:58:10+0300
Программист SQL,250000.0,500000.0,KZT,Алматы,2022-12-05T09:08:31+0300
WEB разработчик (Junior),50000.0,,RUR,Воронеж,2022-12-05T09:57:17+0300
Оператор станков с ЧПУ (ученик),50000.0,90000.0,RUR,Челябинск,2022-12-05T06:16:27+0300
Product Manager / Продакт-менеджер в бренд будуарной женской одежды и белья,80000.0,120000.0,RUR,Санкт-Петербург,2022-12-05T10:15:40+0300
Ученик на станки с ЧПУ,47000.0,80000.0,RUR,Тверь,2022-12-05T08:25:01+0300
Java программист (Java developer),200000.0,,RUR,Екатеринбург,2022-12-05T11:57:59+0300
Менеджер по учету движения нефтепродуктов,45000.0,,RUR,Иркутск,2022-12-05T06:32:24+0300
IT Product manager (middle),150000.0,250000.0,RUR,Владивосток,2022-12-05T10:07:45+0300
Системный администратор,20000.0,25000.0,RUR,Ижевск,2022-12-05T10:39:48+0300
Эксперт по развитию HR-платформы/Эксперт по развитию продукта HR Tech,350000.0,,RUR,Москва,2022-12-05T11:49:06+0300
QA Engineer,90000.0,150000.0,RUR,Москва,2022-12-05T11:32:40+0300
Программист 1С в аккредитованную IT-компанию,160000.0,210000.0,RUR,Москва,2022-12-05T09:28:04+0300
Project Manager (менеджер проектов),80000.0,120000.0,RUR,Москва,2022-12-05T11:40:09+0300
Оператор-наладчик станков ЧПУ (фрезерная группа),100000.0,,RUR,Санкт-Петербург,2022-12-05T10:19:28+0300
Сервис-инженер,60000.0,90000.0,RUR,Уфа,2022-12-05T09:22:09+0300
Инженер службы технической поддержки,,93000.0,RUR,Москва,2022-12-05T10:48:09+0300
Инженер/помощник инженера по ремонту компьютерной техники,30000.0,50000.0,RUR,Казань,2022-12-05T10:00:45+0300
Директор по проектированию/Руководитель проектного отдела,200000.0,,RUR,Москва,2022-12-05T10:43:57+0300
Эксперт по контрактному менеджменту,350000.0,,RUR,Москва,2022-12-05T11:49:15+0300
Product owner/Продакт менеджер,500000.0,1000000.0,KZT,Алматы,2022-12-05T06:42:31+0300
